customer_id	customer_name	gender	age	price	quantity	purchase_date	email	category	age_bracket	category_code	sub_total	tax	final_total	year	month	month_name	day_of_week	quarter
15	CHRISTOPHER	Female	32	165.74524	154	2006-11-18	no@email.com	Clothing	Middle	CL	25524.77	1914.36	27439.13	2006	11	November	Saturday	4
16	GREGORY	Unknown	46	176.01	195	2006-11-18	riveradavid@garcia.com	Clothing	Middle	CL	34321.95	2574.15	36896.1	2006	11	November	Saturday	4
17	mark	Female	53	118.66	26	2006-11-18	no@email.com	Furniture	Middle	FR	3085.16	231.39	3316.5499999999997	2006	11	November	Saturday	4
18	CHRISTINE	Unknown	53	-47.05	40	2006-11-18	jennifer48@anderson.org	Electronics	Middle	ET	-1882.0	-141.15	-2023.15	2006	11	November	Saturday	4
19	Unknown	Male	21	61.54	-4	2024-10-18	ypatterson@perkins.info	Electronics	Young	ET	-246.16	-18.46	-264.62	2024	10	October	Friday	4
20	Deborah Spears	Male	53	323.31	94	2024-10-18	jennifermcbride@gmail.com	Electronics	Middle	ET	30391.14	2279.34	32670.48	2024	10	October	Friday	4
21	Benjamin Grimes	Unknown	79	366.38	94	2024-10-18	no@email.com	Clothing	Middle	CL	34439.72	2582.98	37022.700000000004	2024	10	October	Friday	4
22	MARGARET	Male	32	165.74524	94	2024-10-18	umiller@briggs.com	Clothing	Middle	CL	15580.05	1168.5	16748.55	2024	10	October	Friday	4
23	Kimberly	Unknown	92	432.9	13	2009-05-02	amy43@weeks-lang.info	Clothing	Middle	CL	5627.7	422.08	6049.78	2009	5	May	Saturday	2
24	Steven Orozco	Female	63	205.78	13	2023-08-18	no@email.com	Clothing	Middle	CL	2675.14	200.64	2875.7799999999997	2023	8	August	Friday	3
25	Unknown	Unknown	60	162.54843	67	2023-08-18	ryan29@hotmail.com	Electronics	Middle	ET	10890.74	816.81	11707.55	2023	8	August	Friday	3
26	shannon	Male	47	165.74524	193	2020-06-23	no@email.com	Clothing	Middle	CL	31988.83	2399.16	34387.990000000005	2020	6	June	Tuesday	2
27	steven	Unknown	53	165.74524	193	2010-06-21	barnesdiana@dawson.com	Clothing	Middle	CL	31988.83	2399.16	34387.990000000005	2010	6	June	Monday	2
28	Rebecca Cervantes	Unknown	25	-2.91	60	2010-06-21	no@email.com	Electronics	Middle	ET	-174.6	-13.1	-187.7	2010	6	June	Monday	2
29	Sara Thomas	Male	84	165.74524	131	2010-06-21	no@email.com	Clothing	Middle	CL	21712.63	1628.45	23341.08	2010	6	June	Monday	2
30	Julie	Unknown	55	184.85	5	2010-06-21	no@email.com	Clothing	Middle	CL	924.25	69.32	993.5699999999999	2010	6	June	Monday	2
31	Roberto Brown	Unknown	53	261.63	5	2018-02-09	no@email.com	Clothing	Middle	CL	1308.15	98.11	1406.26	2018	2	February	Friday	1
32	tammy	Unknown	20	158.54	15	2024-11-03	no@email.com	Electronics	Young	ET	2378.1	178.36	2556.46	2024	11	November	Sunday	4
33	Unknown	Unknown	53	165.74524	130	2024-11-03	no@email.com	Clothing	Middle	CL	21546.88	1616.02	23162.9	2024	11	November	Sunday	4
34	Unknown	Unknown	21	164.08	130	2024-11-03	no@email.com	Clothing	Young	CL	21330.4	1599.78	22930.18	2024	11	November	Sunday	4
35	RICHARD	Male	49	296.71	130	2024-11-03	no@email.com	Clothing	Middle	CL	38572.3	2892.92	41465.22	2024	11	November	Sunday	4
36	Victor Johnson	Male	83	146.92767	130	2024-11-03	no@email.com	Furniture	Middle	FR	19100.6	1432.54	20533.14	2024	11	November	Sunday	4
37	Unknown	Male	53	321.46	130	2024-11-03	no@email.com	Clothing	Middle	CL	41789.8	3134.24	44924.04	2024	11	November	Sunday	4
38	Unknown	Unknown	69	113.73	114	2024-11-03	callahanlinda@ruiz.com	Electronics	Middle	ET	12965.22	972.39	13937.609999999999	2024	11	November	Sunday	4
39	Unknown	Male	49	128.3	115	2021-05-17	no@email.com	Electronics	Middle	ET	14754.5	1106.59	15861.09	2021	5	May	Monday	2
40	Stanley Arnold	Female	27	38.14	115	2001-04-25	no@email.com	Furniture	Middle	FR	4386.1	328.96	4715.06	2001	4	April	Wednesday	2
41	allison	Male	53	243.3	115	2019-06-08	andreacooper@gmail.com	Electronics	Middle	ET	27979.5	2098.46	30077.96	2019	6	June	Saturday	2
42	robert	Male	96	27.53	17	2019-06-08	mkaufman@yahoo.com	Clothing	Middle	CL	468.01	35.1	503.11	2019	6	June	Saturday	2
43	Patricia	Male	80	60.81	82	2019-06-08	no@email.com	Furniture	Middle	FR	4986.42	373.98	5360.4	2019	6	June	Saturday	2
44	Jennifer Williams	Unknown	77	293.87	82	2001-10-10	no@email.com	Clothing	Middle	CL	24097.34	1807.3	25904.64	2001	10	October	Wednesday	4
45	paula	Unknown	53	146.92767	82	2001-10-10	zbrown@hotmail.com	Furniture	Middle	FR	12048.07	903.61	12951.68	2001	10	October	Wednesday	4
46	Deborah	Unknown	37	26.09	82	2001-10-10	robinsonmorgan@goodwin-allen.org	Furniture	Middle	FR	2139.38	160.45	2299.83	2001	10	October	Wednesday	4
47	Unknown	Female	85	162.54843	42	2001-10-10	rcontreras@smith.info	Electronics	Middle	ET	6827.03	512.03	7339.0599999999995	2001	10	October	Wednesday	4
48	mark	Female	64	3.3	74	2006-06-08	no@email.com	Electronics	Middle	ET	244.2	18.31	262.51	2006	6	June	Thursday	2
49	Emily Andrews	Male	68	113.0	123	2006-06-08	no@email.com	Electronics	Middle	ET	13899.0	1042.42	14941.42	2006	6	June	Thursday	2
50	Unknown	Male	52	94.28	123	2022-09-26	no@email.com	Furniture	Middle	FR	11596.44	869.73	12466.17	2022	9	September	Monday	3
51	Unknown	Unknown	53	162.54843	123	2022-09-26	no@email.com	Electronics	Middle	ET	19993.46	1499.51	21492.969999999998	2022	9	September	Monday	3
52	LINDSAY	Unknown	24	165.74524	184	2017-08-05	no@email.com	Clothing	Young	CL	30497.12	2287.28	32784.4	2017	8	August	Saturday	3
53	Stephanie Hampton	Unknown	53	210.28	184	2017-08-05	no@email.com	Clothing	Middle	CL	38691.52	2901.86	41593.38	2017	8	August	Saturday	3
54	Misty Blankenship	Female	53	76.25	154	2017-08-05	no@email.com	Electronics	Middle	ET	11742.5	880.69	12623.19	2017	8	August	Saturday	3
55	lori	Male	51	30.33	98	2025-09-21	no@email.com	Furniture	Middle	FR	2972.34	222.93	3195.27	2025	9	September	Sunday	3
56	KEITH	Unknown	53	165.74524	98	2025-09-21	no@email.com	Clothing	Middle	CL	16243.03	1218.23	17461.260000000002	2025	9	September	Sunday	3
57	Unknown	Female	52	254.69	85	2025-09-21	no@email.com	Clothing	Middle	CL	21648.65	1623.65	23272.300000000003	2025	9	September	Sunday	3
58	Unknown	Unknown	47	68.48	120	2025-09-21	no@email.com	Clothing	Middle	CL	8217.6	616.32	8833.92	2025	9	September	Sunday	3
59	Unknown	Unknown	76	386.66	171	2025-09-21	joseph62@hotmail.com	Clothing	Middle	CL	66118.86	4958.91	71077.77	2025	9	September	Sunday	3
60	Lisa	Female	71	436.02	85	2025-09-21	no@email.com	Clothing	Middle	CL	37061.7	2779.63	39841.329999999994	2025	9	September	Sunday	3
61	Unknown	Female	42	162.54843	116	2025-09-21	no@email.com	Electronics	Middle	ET	18855.62	1414.17	20269.79	2025	9	September	Sunday	3
62	Carrie	Unknown	37	146.92767	183	2025-09-21	bellchristopher@hotmail.com	Furniture	Middle	FR	26887.76	2016.58	28904.339999999997	2025	9	September	Sunday	3
63	Laura	Unknown	65	142.56	92	2023-06-14	no@email.com	Electronics	Middle	ET	13115.52	983.66	14099.18	2023	6	June	Wednesday	2
64	Unknown	Unknown	48	165.74524	140	2023-06-14	no@email.com	Clothing	Middle	CL	23204.33	1740.32	24944.65	2023	6	June	Wednesday	2
65	samantha	Unknown	23	-1.14	178	2023-06-14	ihill@turner.com	Electronics	Young	ET	-202.92	-15.22	-218.14	2023	6	June	Wednesday	2
66	Samantha	Unknown	39	286.14	140	2007-11-21	kelly43@guzman.com	Electronics	Middle	ET	40059.6	3004.47	43064.07	2007	11	November	Wednesday	4
67	lisa	Unknown	15	146.92767	140	2021-04-05	no@email.com	Furniture	Young	FR	20569.87	1542.74	22112.61	2021	4	April	Monday	2
68	CHRISTOPHER	Unknown	37	-32.26	2	2020-03-19	no@email.com	Clothing	Middle	CL	-64.52	-4.84	-69.36	2020	3	March	Thursday	1
69	Donald Evans	Unknown	53	165.74524	93	2005-07-22	no@email.com	Clothing	Middle	CL	15414.31	1156.07	16570.38	2005	7	July	Friday	3
70	mark	Male	31	139.45	93	2005-07-22	no@email.com	Electronics	Middle	ET	12968.85	972.66	13941.51	2005	7	July	Friday	3
71	Cynthia Garcia	Unknown	24	-7.39	131	2005-05-11	no@email.com	Clothing	Young	CL	-968.09	-72.61	-1040.7	2005	5	May	Wednesday	2
72	michael	Female	77	112.48	131	2005-05-11	sferguson@gmail.com	Clothing	Middle	CL	14734.88	1105.12	15840.0	2005	5	May	Wednesday	2
73	Keith	Male	53	59.45	131	2005-05-11	no@email.com	Clothing	Middle	CL	7787.95	584.1	8372.05	2005	5	May	Wednesday	2
74	Stacie Kennedy	Male	53	82.31	180	2005-05-11	no@email.com	Clothing	Middle	CL	14815.8	1111.18	15926.98	2005	5	May	Wednesday	2
75	Haley Smith	Female	20	475.7	195	2021-06-02	no@email.com	Clothing	Young	CL	92761.5	6957.11	99718.61	2021	6	June	Wednesday	2
76	KAITLIN	Unknown	31	3.42	33	2021-06-02	lawrence06@yahoo.com	Furniture	Middle	FR	112.86	8.46	121.32	2021	6	June	Wednesday	2
77	Unknown	Male	53	165.74524	33	2021-06-02	matthewsmith@gmail.com	Clothing	Middle	CL	5469.59	410.22	5879.81	2021	6	June	Wednesday	2
78	Unknown	Male	93	19.32	8	2021-06-02	no@email.com	Clothing	Middle	CL	154.56	11.59	166.15	2021	6	June	Wednesday	2
79	Sara	Unknown	31	165.74524	78	2021-06-02	no@email.com	Clothing	Middle	CL	12928.13	969.61	13897.74	2021	6	June	Wednesday	2
80	Felicia Norris	Male	56	454.34	101	2024-08-03	no@email.com	Clothing	Middle	CL	45888.34	3441.63	49329.969999999994	2024	8	August	Saturday	3
81	Unknown	Unknown	42	162.54843	10	2024-08-03	no@email.com	Electronics	Middle	ET	1625.48	121.91	1747.39	2024	8	August	Saturday	3
82	Unknown	Unknown	53	141.97	118	2020-12-13	no@email.com	Furniture	Middle	FR	16752.46	1256.43	18008.89	2020	12	December	Sunday	4
83	kevin	Male	53	459.69	50	2020-12-13	sparkschelsea@montoya.net	Clothing	Middle	CL	22984.5	1723.84	24708.34	2020	12	December	Sunday	4
84	Seth	Female	65	27.03	50	2014-03-11	no@email.com	Clothing	Middle	CL	1351.5	101.36	1452.86	2014	3	March	Tuesday	1
85	Bob Peterson	Unknown	33	163.05	112	2012-04-30	stevencarlson@gmail.com	Furniture	Middle	FR	18261.6	1369.62	19631.219999999998	2012	4	April	Monday	2
86	Unknown	Male	28	435.96	112	2005-02-23	melissa28@reeves-daniel.com	Clothing	Middle	CL	48827.52	3662.06	52489.579999999994	2005	2	February	Wednesday	1
87	Melissa	Male	32	165.74524	112	2016-12-11	no@email.com	Clothing	Middle	CL	18563.47	1392.26	19955.73	2016	12	December	Sunday	4
88	jessica	Female	53	162.54843	112	2022-05-19	no@email.com	Electronics	Middle	ET	18205.42	1365.41	19570.829999999998	2022	5	May	Thursday	2
89	doris	Male	71	237.02	112	2023-07-09	no@email.com	Electronics	Middle	ET	26546.24	1990.97	28537.210000000003	2023	7	July	Sunday	3
90	John Rivas	Female	21	174.15	83	2003-10-07	no@email.com	Electronics	Young	ET	14454.45	1084.08	15538.53	2003	10	October	Tuesday	4
91	Maria	Male	56	-28.82	83	2023-04-29	no@email.com	Clothing	Middle	CL	-2392.06	-179.4	-2571.46	2023	4	April	Saturday	2
92	Lisa	Unknown	56	411.38	83	2023-04-29	no@email.com	Furniture	Middle	FR	34144.54	2560.84	36705.380000000005	2023	4	April	Saturday	2
93	jonathan	Unknown	79	162.54843	95	2023-04-29	no@email.com	Electronics	Middle	ET	15442.1	1158.16	16600.260000000002	2023	4	April	Saturday	2
94	Unknown	Male	96	106.49	95	2022-02-25	no@email.com	Clothing	Middle	CL	10116.55	758.74	10875.289999999999	2022	2	February	Friday	1
95	Aaron	Female	67	165.74524	95	2022-02-25	no@email.com	Clothing	Middle	CL	15745.8	1180.94	16926.739999999998	2022	2	February	Friday	1
96	Benjamin Medina	Male	39	175.86	187	2022-02-25	no@email.com	Clothing	Middle	CL	32885.82	2466.44	35352.26	2022	2	February	Friday	1
97	ERIC	Male	53	146.92767	187	2022-02-25	no@email.com	Furniture	Middle	FR	27475.47	2060.66	29536.13	2022	2	February	Friday	1
98	linda	Male	63	-38.05	187	2022-02-25	no@email.com	Electronics	Middle	ET	-7115.35	-533.65	-7649.0	2022	2	February	Friday	1
99	Jim Branch	Unknown	63	133.59	187	2024-04-05	no@email.com	Clothing	Middle	CL	24981.33	1873.6	26854.93	2024	4	April	Friday	2
100	HEIDI	Female	53	162.54843	111	2021-08-28	zacharyramirez@yahoo.com	Electronics	Middle	ET	18042.88	1353.22	19396.100000000002	2021	8	August	Saturday	3
101	Robert	Unknown	39	146.92767	111	2021-02-18	no@email.com	Furniture	Middle	FR	16308.97	1223.17	17532.14	2021	2	February	Thursday	1
102	ROBERT	Male	13	162.54843	127	2014-04-06	no@email.com	Electronics	Young	ET	20643.65	1548.27	22191.920000000002	2014	4	April	Sunday	2
103	Robert	Male	33	165.74524	175	2014-04-06	no@email.com	Clothing	Middle	CL	29005.42	2175.41	31180.829999999998	2014	4	April	Sunday	2
104	John Hamilton	Male	73	192.75	127	2022-06-07	no@email.com	Clothing	Middle	CL	24479.25	1835.94	26315.19	2022	6	June	Tuesday	2
105	william	Unknown	53	185.75	127	2020-07-06	no@email.com	Furniture	Middle	FR	23590.25	1769.27	25359.52	2020	7	July	Monday	3
106	Unknown	Female	53	114.61	127	2021-03-21	no@email.com	Furniture	Middle	FR	14555.47	1091.66	15647.13	2021	3	March	Sunday	1
107	Unknown	Male	89	9.39	108	2021-03-21	no@email.com	Electronics	Middle	ET	1014.12	76.06	1090.18	2021	3	March	Sunday	1
108	Unknown	Male	53	176.4	171	2006-08-28	no@email.com	Clothing	Middle	CL	30164.4	2262.33	32426.730000000003	2006	8	August	Monday	3
109	andrew	Female	60	162.54843	161	2006-08-28	no@email.com	Electronics	Middle	ET	26170.3	1962.77	28133.07	2006	8	August	Monday	3
110	Nicole Rhodes	Male	53	315.39	179	2006-08-28	no@email.com	Electronics	Middle	ET	56454.81	4234.11	60688.92	2006	8	August	Monday	3
111	Joshua	Unknown	41	162.43	179	2006-08-28	no@email.com	Electronics	Middle	ET	29074.97	2180.62	31255.59	2006	8	August	Monday	3
112	Alexander	Male	34	165.74524	179	2023-07-10	no@email.com	Clothing	Middle	CL	29668.4	2225.13	31893.530000000002	2023	7	July	Monday	3
113	Amber	Female	42	18.33	58	2008-01-02	no@email.com	Furniture	Middle	FR	1063.14	79.74	1142.88	2008	1	January	Wednesday	1
114	mark	Male	20	43.94	101	2008-01-02	kariestrada@yahoo.com	Clothing	Young	CL	4437.94	332.85	4770.79	2008	1	January	Wednesday	1
115	Stacy	Female	53	-39.88	120	2022-02-28	david50@williams-torres.org	Clothing	Middle	CL	-4785.6	-358.92	-5144.52	2022	2	February	Monday	1
116	Holly Schultz	Female	66	-17.26	120	2022-02-28	no@email.com	Electronics	Middle	ET	-2071.2	-155.34	-2226.54	2022	2	February	Monday	1
117	Benjamin Meyer	Unknown	92	162.54843	86	2022-02-28	no@email.com	Electronics	Middle	ET	13979.17	1048.44	15027.61	2022	2	February	Monday	1
118	james	Male	80	130.81	151	2022-02-28	no@email.com	Electronics	Middle	ET	19752.31	1481.42	21233.730000000003	2022	2	February	Monday	1
119	CHRISTIAN	Unknown	58	29.71	151	2022-02-28	hdixon@gmail.com	Clothing	Middle	CL	4486.21	336.47	4822.68	2022	2	February	Monday	1
120	Raymond Strickland	Unknown	53	165.74524	151	2022-02-28	katherinegreen@yahoo.com	Clothing	Middle	CL	25027.53	1877.06	26904.59	2022	2	February	Monday	1
121	KRISTEN	Male	43	85.23	151	2022-02-28	no@email.com	Electronics	Middle	ET	12869.73	965.23	13834.96	2022	2	February	Monday	1
122	Audrey Harris	Unknown	53	41.94	173	2022-02-13	no@email.com	Clothing	Middle	CL	7255.62	544.17	7799.79	2022	2	February	Sunday	1
123	Unknown	Female	32	97.76	173	2022-02-13	andersonsamantha@gmail.com	Clothing	Middle	CL	16912.48	1268.44	18180.92	2022	2	February	Sunday	1
124	Unknown	Unknown	31	165.74524	173	2022-02-13	no@email.com	Clothing	Middle	CL	28673.93	2150.54	30824.47	2022	2	February	Sunday	1
125	scott	Unknown	66	94.28	92	2022-02-13	ryanmurphy@hicks.info	Electronics	Middle	ET	8673.76	650.53	9324.29	2022	2	February	Sunday	1
126	DAVID	Female	53	162.54843	148	2020-07-27	no@email.com	Electronics	Middle	ET	24057.17	1804.29	25861.46	2020	7	July	Monday	3
127	Unknown	Male	60	146.92767	12	2020-07-27	no@email.com	Furniture	Middle	FR	1763.13	132.23	1895.3600000000001	2020	7	July	Monday	3
128	hunter	Unknown	39	165.74524	121	2024-01-17	leahroberts@yahoo.com	Clothing	Middle	CL	20055.17	1504.14	21559.309999999998	2024	1	January	Wednesday	1
129	mark	Female	62	181.53	195	2024-01-17	no@email.com	Clothing	Middle	CL	35398.35	2654.88	38053.229999999996	2024	1	January	Wednesday	1
130	Dominique	Unknown	66	364.36	30	2024-01-17	no@email.com	Clothing	Middle	CL	10930.8	819.81	11750.609999999999	2024	1	January	Wednesday	1
131	Unknown	Unknown	53	147.17	197	2010-03-16	no@email.com	Clothing	Middle	CL	28992.49	2174.44	31166.93	2010	3	March	Tuesday	1
132	Unknown	Unknown	77	-39.04	141	2010-03-16	hunterwells@murray.net	Electronics	Middle	ET	-5504.64	-412.85	-5917.490000000001	2010	3	March	Tuesday	1
133	john	Unknown	30	111.62	157	2010-03-16	no@email.com	Clothing	Middle	CL	17524.34	1314.33	18838.67	2010	3	March	Tuesday	1
134	adam	Male	49	162.54843	127	2025-07-12	ryan37@gmail.com	Electronics	Middle	ET	20643.65	1548.27	22191.920000000002	2025	7	July	Saturday	3
135	Megan	Male	53	146.92767	113	2025-07-12	no@email.com	Furniture	Middle	FR	16602.83	1245.21	17848.04	2025	7	July	Saturday	3
136	Annette Cross	Female	55	146.92767	50	2025-07-12	rperez@gmail.com	Furniture	Middle	FR	7346.38	550.98	7897.360000000001	2025	7	July	Saturday	3
137	Unknown	Unknown	53	146.92767	50	2025-07-12	no@email.com	Furniture	Middle	FR	7346.38	550.98	7897.360000000001	2025	7	July	Saturday	3
138	April Santos	Male	48	-40.68	50	2024-12-16	no@email.com	Electronics	Middle	ET	-2034.0	-152.55	-2186.55	2024	12	December	Monday	4
139	Unknown	Male	56	165.74524	50	2024-12-16	no@email.com	Clothing	Middle	CL	8287.26	621.54	8908.8	2024	12	December	Monday	4
140	paul	Male	74	68.11	50	2024-12-16	no@email.com	Clothing	Middle	CL	3405.5	255.41	3660.91	2024	12	December	Monday	4
141	HANNAH	Female	71	162.54843	89	2024-12-16	haley56@meyer-anderson.com	Electronics	Middle	ET	14466.81	1085.01	15551.82	2024	12	December	Monday	4
142	Caitlin	Male	66	116.73	89	2020-07-06	patricksmith@thompson-cooley.info	Clothing	Middle	CL	10388.97	779.17	11168.14	2020	7	July	Monday	3
143	Paige Jones	Unknown	59	162.54843	89	2020-07-06	no@email.com	Electronics	Middle	ET	14466.81	1085.01	15551.82	2020	7	July	Monday	3
144	David Butler	Female	60	146.92767	16	2020-07-06	no@email.com	Furniture	Middle	FR	2350.84	176.31	2527.15	2020	7	July	Monday	3
145	Kristy	Male	58	114.16	94	2020-07-06	tamaraoneill@greene.com	Clothing	Middle	CL	10731.04	804.83	11535.87	2020	7	July	Monday	3
146	Gerald	Female	40	-15.16	94	2020-07-06	no@email.com	Furniture	Middle	FR	-1425.04	-106.88	-1531.92	2020	7	July	Monday	3
147	Joseph Bryant	Male	53	162.54843	153	2014-09-24	no@email.com	Electronics	Middle	ET	24869.91	1865.24	26735.15	2014	9	September	Wednesday	3
148	Bradley Moreno	Unknown	53	200.64	150	2025-02-20	no@email.com	Clothing	Middle	CL	30096.0	2257.2	32353.2	2025	2	February	Thursday	1
149	gregory	Male	58	140.11	44	2025-02-20	no@email.com	Electronics	Middle	ET	6164.84	462.36	6627.2	2025	2	February	Thursday	1
150	RUSSELL	Male	53	165.74524	156	2025-02-20	grahamshelby@gmail.com	Clothing	Middle	CL	25856.26	1939.22	27795.48	2025	2	February	Thursday	1
151	Mike	Female	53	26.44	54	2025-02-20	mckenziescott@gmail.com	Furniture	Middle	FR	1427.76	107.08	1534.84	2025	2	February	Thursday	1
152	Unknown	Unknown	92	77.7	67	2018-04-05	no@email.com	Clothing	Middle	CL	5205.9	390.44	5596.339999999999	2018	4	April	Thursday	2
153	ALLISON	Male	26	165.74524	67	2018-04-05	no@email.com	Clothing	Middle	CL	11104.93	832.87	11937.800000000001	2018	4	April	Thursday	2
154	jennifer	Male	53	93.12	170	2018-04-05	no@email.com	Electronics	Middle	ET	15830.4	1187.28	17017.68	2018	4	April	Thursday	2
155	veronica	Unknown	65	162.54843	200	2025-10-15	no@email.com	Electronics	Middle	ET	32509.69	2438.23	34947.92	2025	10	October	Wednesday	4
156	James Gutierrez	Female	25	103.11	117	2023-08-09	no@email.com	Furniture	Middle	FR	12063.87	904.79	12968.66	2023	8	August	Wednesday	3
157	HEATHER	Male	41	63.46	117	2024-11-02	sharontrevino@yahoo.com	Furniture	Middle	FR	7424.82	556.86	7981.679999999999	2024	11	November	Saturday	4
158	Unknown	Male	60	120.98	117	2022-04-10	xjohnson@hotmail.com	Clothing	Middle	CL	14154.66	1061.6	15216.26	2022	4	April	Sunday	2
159	david	Female	53	162.54843	101	2025-03-06	brownpaula@yahoo.com	Electronics	Middle	ET	16417.39	1231.3	17648.69	2025	3	March	Thursday	1
160	Matthew	Female	53	165.74524	70	2025-03-06	no@email.com	Clothing	Middle	CL	11602.17	870.16	12472.33	2025	3	March	Thursday	1
161	Jessica	Male	53	162.54843	154	2022-06-11	no@email.com	Electronics	Middle	ET	25032.46	1877.43	26909.89	2022	6	June	Saturday	2
162	David	Unknown	53	41.04	123	2022-06-11	kellyray@hotmail.com	Furniture	Middle	FR	5047.92	378.59	5426.51	2022	6	June	Saturday	2
163	Unknown	Female	23	165.47	123	2022-02-27	no@email.com	Clothing	Young	CL	20352.81	1526.46	21879.27	2022	2	February	Sunday	1
164	Unknown	Female	63	162.54843	123	2022-02-27	no@email.com	Electronics	Middle	ET	19993.46	1499.51	21492.969999999998	2022	2	February	Sunday	1
165	Alison	Unknown	81	146.92767	123	2002-09-12	johnsonjason@goodwin.net	Furniture	Middle	FR	18072.1	1355.41	19427.51	2002	9	September	Thursday	3
166	Gabriel	Male	67	146.92767	179	2002-09-12	no@email.com	Furniture	Middle	FR	26300.05	1972.5	28272.55	2002	9	September	Thursday	3
167	Andre	Male	79	165.74524	179	2002-09-12	no@email.com	Clothing	Middle	CL	29668.4	2225.13	31893.530000000002	2002	9	September	Thursday	3
168	Latoya	Male	66	165.74524	22	2002-09-12	no@email.com	Clothing	Middle	CL	3646.4	273.48	3919.88	2002	9	September	Thursday	3
169	Lisa	Female	43	146.92767	22	2002-09-12	no@email.com	Furniture	Middle	FR	3232.41	242.43	3474.8399999999997	2002	9	September	Thursday	3
170	Danielle Alvarez	Female	86	258.08	22	2002-09-12	davidgordon@richardson.info	Furniture	Middle	FR	5677.76	425.83	6103.59	2002	9	September	Thursday	3
171	henry	Female	32	165.74524	14	2002-09-12	rossalec@rich-wheeler.org	Clothing	Middle	CL	2320.43	174.03	2494.46	2002	9	September	Thursday	3
172	JEFFREY	Male	42	6.91	130	2002-09-12	no@email.com	Furniture	Middle	FR	898.3	67.37	965.67	2002	9	September	Thursday	3
173	Carl	Male	56	237.0	113	2002-09-12	peterwright@medina-perry.com	Clothing	Middle	CL	26781.0	2008.57	28789.57	2002	9	September	Thursday	3
174	CHRISTINA	Female	33	70.38	172	2002-09-12	richard72@cannon.net	Clothing	Middle	CL	12105.36	907.9	13013.26	2002	9	September	Thursday	3
175	DENISE	Female	37	165.74524	61	2002-09-12	david08@diaz.com	Clothing	Middle	CL	10110.46	758.28	10868.74	2002	9	September	Thursday	3
176	MICHELE	Male	58	-36.66	32	2021-10-09	rodney60@gmail.com	Furniture	Middle	FR	-1173.12	-87.98	-1261.1	2021	10	October	Saturday	4
177	Unknown	Unknown	53	113.68	15	2019-04-14	dwilson@hotmail.com	Furniture	Middle	FR	1705.2	127.89	1833.0900000000001	2019	4	April	Sunday	2
178	kimberly	Male	53	177.27	15	2020-02-03	no@email.com	Clothing	Middle	CL	2659.05	199.43	2858.48	2020	2	February	Monday	1
179	Unknown	Unknown	53	165.74524	197	2007-04-18	no@email.com	Clothing	Middle	CL	32651.81	2448.89	35100.700000000004	2007	4	April	Wednesday	2
180	David Hartman	Unknown	41	382.18	120	2007-04-18	no@email.com	Clothing	Middle	CL	45861.6	3439.62	49301.22	2007	4	April	Wednesday	2
181	calvin	Female	62	154.03	8	2023-08-20	no@email.com	Electronics	Middle	ET	1232.24	92.42	1324.66	2023	8	August	Sunday	3
