customer-id,customer name,gender,age,price,quantity,purchase-date,email,category
137,,unknown,,,,invalid_date,,furniture
138,April Santos,Male,48.0,-40.68,,2024-12-16,,eLeCtrOnIcs
139,,MALE,56.0,,,invalid_date,,clothing
140,paul,MALE,74.0,68.11,,,,Cloth ing
141,HANNAH,Female,71.0,,89.0,2021-13-40,haley56@meyer-anderson.com,Electronics
142,Caitlin,MALE,66.0,116.73,,2020-07-06,patricksmith@thompson-cooley.info,ClOThIng
143,Paige Jones,,59.0,,,invalid_date,,Electronics
144,David Butler,female,60.0,,16.0,2021-13-40,,furniture
145,Kristy,Male,58.0,114.16,94.0,invalid_date,tamaraoneill@greene.com,clothing
146,Gerald,female,40.0,-15.16,,invalid_date,,furnITure
147,Joseph Bryant,Male,,,153.0,2014-09-24,,eLeCtrOnIcs
148,Bradley Moreno,,,200.64,150.0,2025-02-20,,ClOThIng
149,gregory,MALE,58.0,140.11,44.0,invalid_date,,electronics
150,RUSSELL,MALE,,,156.0,,grahamshelby@gmail.com,Cloth ing
151,Mike,female,,26.44,54.0,2021-13-40,mckenziescott@gmail.com,furniture
152,,,92.0,77.7,67.0,2018-04-05,,clothing
153,ALLISON,Male,26.0,,,invalid_date,,clothing
154,jennifer,MALE,,93.12,170.0,invalid_date,,electronics
155,veronica,,65.0,,200.0,2025-10-15,,electronics
156,James Gutierrez,Female,25.0,103.11,117.0,2023-08-09,,furniture
157,HEATHER,MALE,41.0,63.46,,2024-11-02,sharontrevino@yahoo.com,furnITure
158,,Male,60.0,120.98,,2022-04-10,xjohnson@hotmail.com,ClOThIng
159,david,female,,,101.0,2025-03-06,brownpaula@yahoo.com,eLeCtrOnIcs
160,Matthew,Female,,,70.0,invalid_date,,CLOTHING
161,Jessica,MALE,,,154.0,2022-06-11,,Electronics
162,David,,,41.04,123.0,,kellyray@hotmail.com,furnITure
163,,female,23.0,165.47,,2022-02-27,,clothing
164,,Female,63.0,,,2021-13-40,,electronics
165,Alison,unknown,81.0,,,2002-09-12,johnsonjason@goodwin.net,furniture
166,Gabriel,MALE,67.0,,179.0,2021-13-40,,furnITure
167,Andre,Male,79.0,,,,,Cloth ing
168,Latoya,MALE,66.0,,22.0,2021-13-40,,CLOTHING
169,Lisa,female,43.0,,,,,furnITure
170,Danielle Alvarez,female,86.0,258.08,,,davidgordon@richardson.info,furniture
171,henry,female,32.0,,14.0,,rossalec@rich-wheeler.org,clothing
172,JEFFREY,MALE,42.0,6.91,130.0,invalid_date,,furniture
173,Carl,MALE,56.0,237.0,113.0,invalid_date,peterwright@medina-perry.com,clothing
174,CHRISTINA,female,33.0,70.38,172.0,2021-13-40,richard72@cannon.net,Cloth ing
175,DENISE,female,37.0,,61.0,invalid_date,david08@diaz.com,clothing
176,MICHELE,MALE,58.0,-36.66,32.0,2021-10-09,rodney60@gmail.com,furnITure
177,,unknown,,113.68,15.0,2019-04-14,dwilson@hotmail.com,furniture
178,kimberly,Male,,177.27,,2020-02-03,,Cloth ing
179,,unknown,,,197.0,2007-04-18,,ClOThIng
180,David Hartman,,41.0,382.18,120.0,2021-13-40,,clothing
181,calvin,Female,62.0,154.03,8.0,2023-08-20,,eLeCtrOnIcs
182,Joseph Peters,MALE,30.0,-17.38,2.0,2021-12-12,,electronics
183,,unknown,90.0,,,invalid_date,,electronics
184,KIMBERLY,MALE,,189.3,41.0,2000-09-26,wendy54@hunt.com,eLeCtrOnIcs
185,Christian,unknown,58.0,60.02,165.0,2002-11-04,brittany97@graham.info,furnITure
186,Stephanie Miles,unknown,,,,invalid_date,,Cloth ing
187,Madeline,,27.0,,67.0,,campbellnathaniel@hotmail.com,electronics
188,Courtney,female,,37.62,122.0,,,furniture
189,matthew,MALE,33.0,383.95,48.0,2022-06-26,,Electronics
190,Aaron,,,,40.0,invalid_date,,eLeCtrOnIcs
191,denise,unknown,55.0,-22.26,,2025-07-13,,CLOTHING
192,,Male,11.0,,148.0,2023-12-24,,furniture
193,,MALE,34.0,,,2020-03-13,,electronics
194,Stephanie Gilmore,unknown,53.0,110.83,,,,furniture
195,,,85.0,67.33,142.0,2021-13-40,,Cloth ing
196,Allison James,,71.0,61.24,196.0,2021-13-40,,furniture
197,amy,,61.0,,,invalid_date,thomasmcintosh@brown.net,CLOTHING
198,Richard,MALE,41.0,71.05,,2021-13-40,,furnITure
199,Jessica,MALE,25.0,,,2015-10-27,,furniture
200,HEATHER,MALE,,77.42,-1.0,,kylejennings@yahoo.com,furnITure
201,Lisa,unknown,,390.52,73.0,invalid_date,,ClOThIng
202,Rachel,MALE,,301.5,,2022-07-14,,CLOTHING
203,,,,179.05,18.0,2021-06-12,,furniture
204,KIMBERLY,,76.0,,,2021-13-40,twilson@thompson.org,CLOTHING
205,,Female,70.0,-19.48,,2021-13-40,,furnITure
206,Paul,female,,204.64,175.0,invalid_date,john45@gmail.com,furniture
207,,unknown,31.0,16.97,4.0,,matthewgill@hotmail.com,ClOThIng
208,,female,34.0,32.08,,2021-13-40,,furnITure
209,William Harper,female,,-48.36,168.0,invalid_date,,clothing
210,jennifer,MALE,59.0,89.18,119.0,2020-07-23,,Cloth ing
211,Bradley,female,,,,2001-07-13,,Cloth ing
212,victor,female,11.0,,,,,electronics
213,,,,,114.0,2021-13-40,wattsjennifer@avila-luna.com,Cloth ing
214,ALISON,unknown,68.0,76.94,51.0,2021-13-40,heather70@chambers.biz,electronics
215,,unknown,44.0,130.62,,2023-03-17,ritayoung@rodriguez.biz,furnITure
216,,MALE,73.0,196.89,9.0,2021-13-40,,furnITure
217,kevin,female,,49.51,,2007-10-11,moralessarah@yahoo.com,electronics
218,,unknown,,333.77,94.0,,,clothing
219,kaitlyn,MALE,55.0,69.5,126.0,2024-06-18,longlisa@mays.com,Electronics
220,ANGELA,female,51.0,482.48,163.0,invalid_date,bmorrison@bates.biz,ClOThIng
221,KEVIN,unknown,71.0,,,2021-13-40,,ClOThIng
222,Shannon,Male,76.0,,,2020-09-30,,eLeCtrOnIcs
223,matthew,unknown,38.0,165.3,195.0,,,Cloth ing
224,TINA,,42.0,83.91,147.0,2021-13-40,,Electronics
225,Matthew Fuller,Male,59.0,130.15,,2021-13-40,,CLOTHING
226,KEITH,MALE,,290.65,189.0,2021-13-40,ariel97@yahoo.com,furniture
227,Cynthia,MALE,19.0,20.1,,invalid_date,,furniture
228,,female,57.0,,41.0,2020-04-08,,ClOThIng
229,ALEXANDER,,,271.72,199.0,invalid_date,yangcrystal@gutierrez-baker.com,ClOThIng
230,Denise Foster,female,,,181.0,invalid_date,alyssa16@hotmail.com,furniture
231,jennifer,Female,,,,,,Electronics
232,,,58.0,,23.0,2002-05-29,lindanorton@gmail.com,CLOTHING
233,ERIC,female,66.0,55.89,131.0,2004-12-10,mccormickveronica@gmail.com,furnITure
234,jonathan,female,54.0,,,2021-13-40,,electronics
235,ZACHARY,unknown,16.0,407.68,32.0,2022-12-16,,Cloth ing
236,Jennifer,Male,,-10.64,5.0,2024-04-17,hsmith@anthony.org,ClOThIng
237,,unknown,74.0,95.94,8.0,invalid_date,,CLOTHING
238,,,16.0,68.27,1.0,invalid_date,,ClOThIng
239,TRACY,Female,,230.61,159.0,2020-09-08,,furnITure
240,,Male,20.0,,70.0,2021-13-40,,furnITure
241,RHONDA,Male,21.0,,21.0,2024-06-18,,CLOTHING
242,James Miller,,37.0,356.93,87.0,invalid_date,,furnITure
243,Shawn Floyd Jr.,female,,8.16,-1.0,invalid_date,mariaosborne@yahoo.com,ClOThIng
244,Alexandra,female,70.0,493.03,,invalid_date,markramos@yahoo.com,electronics
245,,female,,67.48,14.0,2009-09-03,victorwilson@walker.biz,CLOTHING
246,Sarah,Female,54.0,,17.0,invalid_date,,clothing
247,Nancy Scott,unknown,54.0,,,invalid_date,,Cloth ing
248,DEBRA,MALE,72.0,,,2021-07-08,doylejon@flores.com,electronics
249,TINA,,34.0,443.75,56.0,2024-09-14,,CLOTHING
250,Jose Snow,unknown,87.0,20.48,91.0,2010-08-11,karenlopez@perez-sanders.org,electronics
251,Jason,female,49.0,424.04,,2011-08-24,kevinpotts@yahoo.com,furniture
252,,unknown,20.0,276.31,,,,furniture
253,Michelle,unknown,47.0,475.43,168.0,2009-08-07,,Electronics
254,Anthony,Female,66.0,22.9,92.0,2021-12-10,,CLOTHING
255,LOGAN,Male,18.0,249.64,62.0,,,Electronics
256,ZACHARY,unknown,75.0,60.99,67.0,,,electronics
257,maria,female,,-39.7,,,connie94@cortez.com,ClOThIng
258,,MALE,51.0,435.39,,2021-13-40,,Cloth ing
259,,female,52.0,-8.1,90.0,2021-13-40,,eLeCtrOnIcs
260,Donna,MALE,39.0,275.38,-2.0,,,clothing
261,Regina Castaneda,,87.0,,26.0,2020-03-15,,Electronics
262,DAVID,Male,,104.36,1.0,,regina75@acevedo-floyd.org,furniture
263,DUSTIN,unknown,59.0,,,2020-06-12,,clothing
264,Brenda,,68.0,-22.65,50.0,2022-06-24,,ClOThIng
265,Cody,Female,,147.77,,,,clothing
266,mary,,22.0,129.74,135.0,2023-08-10,,electronics
267,William Cross,female,20.0,,22.0,invalid_date,,electronics
268,,MALE,54.0,97.78,80.0,invalid_date,michaelpoole@hotmail.com,CLOTHING
269,jodi,,,,175.0,2001-01-13,,furnITure
270,ANGELA,Male,47.0,,68.0,,,furnITure
271,,female,,,87.0,invalid_date,,clothing
272,PATRICK,female,26.0,,158.0,2021-13-40,,furniture
273,,,38.0,82.17,153.0,2024-07-02,brettadams@yahoo.com,furniture
274,Dr. Robert Dixon V,female,68.0,198.86,,invalid_date,,furnITure
275,Jamie French,female,57.0,130.1,106.0,,,Cloth ing
276,Thomas Tran,unknown,84.0,333.06,78.0,invalid_date,,electronics
277,ryan,unknown,,216.71,146.0,2014-08-17,,Cloth ing
278,JEREMY,MALE,36.0,45.83,45.0,2017-03-02,,furniture
279,John Ryan,unknown,,287.9,98.0,2021-13-40,,ClOThIng
280,Dean,unknown,97.0,111.78,,invalid_date,,eLeCtrOnIcs
281,Charles,female,56.0,,,2004-04-20,,furniture
282,MARY,,35.0,123.3,134.0,2021-13-40,,CLOTHING
283,BRIAN,unknown,,,,2021-13-40,,furniture
284,blake,,53.0,172.01,-9.0,2015-03-14,,furniture
285,FREDERICK,,46.0,251.05,102.0,2001-12-30,,electronics
286,Alicia,MALE,48.0,,,,,ClOThIng
287,anthony,MALE,40.0,,125.0,invalid_date,,CLOTHING
288,,female,54.0,,84.0,invalid_date,sorr@hotmail.com,furniture
289,Shawn Diaz,female,27.0,,,invalid_date,marywilliams@duke.com,Electronics
290,,MALE,,82.05,44.0,2021-13-40,fbrown@jennings.info,furnITure
291,susan,female,44.0,35.17,,2024-02-17,,CLOTHING
292,,MALE,46.0,,,,,eLeCtrOnIcs
293,Stephanie,female,67.0,174.85,,,joseph33@gmail.com,clothing
294,robert,female,80.0,95.5,155.0,2021-13-40,carla35@hotmail.com,furniture
295,Eric Richardson,unknown,,2.84,52.0,invalid_date,,ClOThIng
296,Kevin Guerrero,unknown,67.0,29.78,,,,furniture
297,Michael,,49.0,252.66,,2021-13-40,coxdave@weber.com,CLOTHING
298,LAURA,MALE,44.0,,41.0,2024-01-30,kchandler@yahoo.com,clothing
299,ROBERT,,36.0,,140.0,2006-03-05,,ClOThIng
300,,Female,78.0,309.52,51.0,2002-04-02,,furnITure
301,Dana,Male,75.0,311.32,192.0,2021-13-40,,electronics
302,RONALD,unknown,47.0,,180.0,2021-13-40,kevin75@gmail.com,furniture
303,DANIELLE,female,,,40.0,invalid_date,,ClOThIng
304,CHRISTOPHER,,,,,2021-13-40,,furniture
305,Susan Holloway,,46.0,,75.0,invalid_date,,clothing
306,ERIKA,unknown,73.0,367.42,,2007-08-29,,furniture
307,JACQUELINE,unknown,49.0,227.39,,2012-03-13,,ClOThIng
308,Daniel Morse,MALE,12.0,442.25,100.0,,,eLeCtrOnIcs
309,,,23.0,132.54,13.0,invalid_date,,Cloth ing
310,Jessica Stuart,Male,,-42.41,194.0,invalid_date,,CLOTHING
311,Nicholas Leonard,,,439.37,41.0,2021-13-40,smithdouglas@rios.biz,electronics
312,,,,,21.0,invalid_date,,eLeCtrOnIcs
313,Stacy Newton,unknown,,256.1,,2021-13-40,littlechad@jones.net,Cloth ing
314,BRANDI,unknown,37.0,85.1,5.0,2024-11-18,smithrebecca@martinez.org,eLeCtrOnIcs
315,Brett Harris,MALE,,306.48,22.0,2021-13-40,william57@walker.org,ClOThIng
316,,Male,43.0,42.23,111.0,2025-02-13,,furnITure
317,dylan,female,58.0,190.14,,2021-07-18,,Electronics
318,HOLLY,unknown,,278.73,,2021-13-40,qkrause@hotmail.com,furniture
319,william,unknown,72.0,21.8,159.0,invalid_date,,clothing
320,Tim,unknown,28.0,,119.0,invalid_date,pkey@yahoo.com,furniture
321,alexis,MALE,,,,,,Cloth ing
322,,female,,161.47,189.0,2021-13-40,,electronics
323,JOSE,MALE,69.0,170.65,68.0,2014-10-10,,CLOTHING
324,Ryan,,,196.03,154.0,,,eLeCtrOnIcs
325,keith,MALE,78.0,,,,,Electronics
326,matthew,Female,24.0,121.67,189.0,2021-13-40,,eLeCtrOnIcs
327,KIMBERLY,,56.0,122.97,35.0,,,CLOTHING
328,LEON,MALE,79.0,88.38,3.0,2001-09-17,,CLOTHING
329,ZACHARY,Female,,,8.0,2009-05-05,james22@ramos-mccarthy.net,CLOTHING
330,Erin,,77.0,,,,,eLeCtrOnIcs
331,joshua,unknown,89.0,59.41,,invalid_date,smithnorma@morris-manning.com,CLOTHING
332,Katie Reynolds,Male,45.0,86.33,,2021-05-11,,furniture
333,ROBERT,unknown,69.0,,56.0,,porterlindsey@yahoo.com,furniture
334,ANDREW,,64.0,127.37,,invalid_date,,clothing
335,kendra,unknown,66.0,112.6,107.0,2016-12-07,,CLOTHING
336,John,MALE,12.0,169.14,,2024-02-18,,eLeCtrOnIcs
337,,unknown,,90.52,106.0,2021-13-40,,ClOThIng
338,,unknown,,384.36,85.0,invalid_date,,furniture
339,brett,female,53.0,283.54,75.0,2022-05-16,,CLOTHING
340,Madison,female,,-46.46,,,,eLeCtrOnIcs
341,sharon,Male,,142.73,154.0,2002-09-07,,electronics
342,JILL,female,76.0,,197.0,2025-10-08,john63@hotmail.com,ClOThIng
343,RICHARD,unknown,27.0,435.06,,2021-13-40,,Electronics
344,Robert,Male,84.0,188.16,,2009-07-08,,furniture
345,REBECCA,MALE,41.0,126.55,84.0,2024-10-10,,electronics
346,Ronald Smith,MALE,41.0,,,,,CLOTHING
347,Victoria Mcgee,,48.0,117.34,,invalid_date,,Cloth ing
348,Timothy,female,27.0,311.24,,invalid_date,randallangela@yang-hernandez.com,eLeCtrOnIcs
349,Jeanette,Male,,364.01,101.0,invalid_date,,ClOThIng
350,,MALE,31.0,194.67,99.0,,,furniture
351,sharon,MALE,,,,,,eLeCtrOnIcs
352,SAMUEL,unknown,27.0,293.57,,2025-06-26,,ClOThIng
353,denise,,,,124.0,invalid_date,,furnITure
354,Whitney Dominguez,,,-32.16,,2021-03-21,,furnITure
355,ISAAC,unknown,97.0,11.55,189.0,invalid_date,,furnITure
356,,female,,367.19,38.0,2024-03-04,,eLeCtrOnIcs
357,Ashley,Male,39.0,28.51,,2021-13-40,,CLOTHING
358,ERICA,,,,49.0,invalid_date,,Electronics
359,Danny Rivera,Male,36.0,51.44,146.0,2021-13-40,,ClOThIng
360,Alexa,,93.0,429.49,103.0,,tannermarissa@yahoo.com,Cloth ing
361,AMANDA,MALE,25.0,270.92,100.0,2009-09-05,,Electronics
362,patrick,,72.0,,,2009-11-07,,Cloth ing
363,Tammy Porter,unknown,19.0,148.42,-5.0,2022-02-18,,furnITure
364,Jaime Barry,Female,52.0,,182.0,2021-13-40,jasonpoole@campbell-bender.com,eLeCtrOnIcs
365,TIMOTHY,unknown,,115.61,-9.0,2022-11-04,,clothing
366,matthew,,,126.17,52.0,,darryl85@miller-gomez.com,furnITure
367,SYLVIA,MALE,26.0,69.74,,,,eLeCtrOnIcs
368,PHILLIP,unknown,76.0,,,2020-11-27,,furniture
369,Tammy,Male,52.0,,176.0,2009-06-20,kristen22@trujillo.com,furniture
370,PHILLIP,Female,99.0,,,invalid_date,,furniture
371,kenneth,female,,,106.0,2021-13-40,,Cloth ing
372,Bruce,unknown,51.0,123.37,197.0,2025-09-01,,Cloth ing
373,,unknown,16.0,,40.0,2021-13-40,,furnITure
374,joseph,female,21.0,467.98,,,,clothing
375,debra,unknown,65.0,,162.0,,,CLOTHING
376,ANN,unknown,55.0,-25.5,62.0,,randylopez@hotmail.com,electronics
377,,MALE,65.0,129.16,,2024-05-10,,furnITure
378,Shelby Howe,MALE,59.0,7.92,,2004-02-16,,CLOTHING
379,,,,49.3,61.0,2013-08-07,,eLeCtrOnIcs
380,Rebecca,Male,37.0,,5.0,,,Cloth ing
381,David,,,,,invalid_date,,clothing
382,Caitlin Blake,Male,27.0,,124.0,,,furnITure
383,JESSICA,female,61.0,103.87,,2021-13-40,knappkathleen@hampton.info,ClOThIng
384,,Male,25.0,1.03,,,,Cloth ing
385,Paul Rojas,female,53.0,-43.67,182.0,2011-03-09,,eLeCtrOnIcs
386,GARY,MALE,83.0,145.51,117.0,,,clothing
387,,Male,35.0,,160.0,,,furnITure
388,,female,29.0,,30.0,invalid_date,,clothing
389,Michelle Rodriguez,female,67.0,234.98,59.0,2022-05-07,susan06@hotmail.com,eLeCtrOnIcs
390,william,,47.0,148.31,,invalid_date,,furnITure
391,Joshua Molina,,,42.17,,2015-06-06,,ClOThIng
392,jennifer,female,,,60.0,invalid_date,william19@freeman.com,eLeCtrOnIcs
393,Fernando,MALE,77.0,-46.86,155.0,2021-13-40,,Electronics
394,,female,,454.86,70.0,2003-02-02,vjohnson@hotmail.com,electronics
395,andrew,unknown,,72.08,,,,CLOTHING
396,Dr. Hector Vaughn,Male,,140.39,156.0,2024-06-17,,furniture
397,jason,MALE,34.0,-1.83,37.0,invalid_date,,electronics
398,,Male,35.0,85.84,22.0,2020-08-23,zwhite@summers.biz,clothing
399,Kathryn,unknown,27.0,50.98,53.0,,christina62@gmail.com,CLOTHING
400,KYLE,,18.0,3.2,181.0,invalid_date,,ClOThIng
401,,unknown,53.0,,74.0,invalid_date,,Cloth ing
